iter	Passed	Remaining
0	1	177
1	3	161
2	4	155
3	6	152
4	8	153
5	9	151
6	11	149
7	12	147
8	14	145
9	15	142
10	17	140
11	18	138
12	20	136
13	22	135
14	23	133
15	25	131
16	26	129
17	28	127
18	29	126
19	31	124
20	32	122
21	34	121
22	35	120
23	37	118
24	38	116
25	40	115
26	42	113
27	43	111
28	45	110
29	46	108
30	48	107
31	49	105
32	51	104
33	52	102
34	54	100
35	55	99
36	57	97
37	58	96
38	60	94
39	61	92
40	63	91
41	65	89
42	66	88
43	67	86
44	69	84
45	70	82
46	72	81
47	73	79
48	75	78
49	76	76
50	78	75
51	79	73
52	81	72
53	82	70
54	84	69
55	86	67
56	87	66
57	89	64
58	90	63
59	92	61
60	93	59
61	95	58
62	96	56
63	98	55
64	99	53
65	101	52
66	103	50
67	105	49
68	106	48
69	108	46
70	110	45
71	112	43
72	113	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	124	31
80	125	29
81	127	27
82	128	26
83	130	24
84	132	23
85	133	21
86	135	20
87	136	18
88	138	17
89	139	15
90	140	13
91	142	12
92	144	10
93	145	9
94	147	7
95	148	6
96	150	4
97	151	3
98	153	1
99	154	0
